date,description,amount,currency,category,account
2025-09-14,Netflix,-10.76,EUR,Subscriptions,Main
2025-09-15,Netflix,-13.80,EUR,Subscriptions,Main
2025-09-16,Internet,-42.37,EUR,Utilities,Main
2025-09-20,Netflix,-16.62,EUR,Subscriptions,Main
2025-09-21,VR,-40.30,EUR,Transport,Main
2025-09-24,S-Market,-33.16,EUR,Groceries,Main
2025-09-27,Internet,-44.89,EUR,Utilities,Main
2025-09-28,Spotify,-10.82,EUR,Subscriptions,Main
2025-10-01,Salary,2600.00,EUR,Income,Main
2025-10-02,Rent,-950.00,EUR,Housing,Main
2025-10-03,Wolt,-37.28,EUR,Eating Out,Main
2025-10-05,Lidl,-40.59,EUR,Groceries,Main
2025-10-06,Wolt,-40.92,EUR,Eating Out,Main
2025-10-09,Restaurant,-73.39,EUR,Eating Out,Main
2025-10-11,Internet,-18.02,EUR,Utilities,Main
2025-10-12,Lidl,-48.90,EUR,Groceries,Main
2025-10-12,Pharmacy,-26.30,EUR,Health,Main
2025-10-13,Lidl,-29.93,EUR,Groceries,Main
2025-10-15,Restaurant,-60.48,EUR,Eating Out,Main
2025-10-16,Gym,-42.70,EUR,Health,Main
2025-10-19,Gym,-22.69,EUR,Health,Main
2025-10-20,Wolt,-31.54,EUR,Eating Out,Main
2025-10-21,Lidl,-32.72,EUR,Groceries,Main
2025-10-22,S-Market,-15.80,EUR,Groceries,Main
2025-10-23,Lidl,-40.60,EUR,Groceries,Main
2025-10-24,K-Market,-28.93,EUR,Groceries,Main
2025-10-29,HSL,-7.86,EUR,Transport,Main
2025-10-30,K-Market,-17.81,EUR,Groceries,Main
2025-10-31,Electricity,-105.55,EUR,Utilities,Main
2025-11-01,Salary,2600.00,EUR,Income,Main
2025-11-01,Restaurant,-59.02,EUR,Eating Out,Main
2025-11-01,Gym,-38.42,EUR,Health,Main
2025-11-02,Rent,-950.00,EUR,Housing,Main
2025-11-02,K-Market,-30.10,EUR,Groceries,Main
2025-11-02,K-Market,-7.12,EUR,Groceries,Main
2025-11-03,Restaurant,-77.21,EUR,Eating Out,Main
2025-11-06,Lidl,-57.80,EUR,Groceries,Main
2025-11-07,Wolt,-13.97,EUR,Eating Out,Main
2025-11-08,Gym,-38.79,EUR,Health,Main
2025-11-10,Trip,-450.00,EUR,Travel,Main
2025-11-11,Lidl,-40.74,EUR,Groceries,Main
2025-11-11,Laptop,-899.00,EUR,Shopping,Main
2025-11-12,Spotify,-12.45,EUR,Subscriptions,Main
2025-11-13,VR,-37.03,EUR,Transport,Main
2025-11-14,VR,-18.36,EUR,Transport,Main
2025-11-14,Insurance,-220.00,EUR,Insurance,Main
2025-11-15,Internet,-39.82,EUR,Utilities,Main
2025-11-17,Lidl,-39.26,EUR,Groceries,Main
2025-11-19,HSL,-6.90,EUR,Transport,Main
2025-11-20,Wolt,-37.46,EUR,Eating Out,Main
2025-11-22,Netflix,-12.10,EUR,Subscriptions,Main
2025-11-23,Internet,-41.62,EUR,Utilities,Main
2025-11-25,Internet,-41.72,EUR,Utilities,Main
2025-11-26,Lidl,-22.24,EUR,Groceries,Main
2025-11-27,Internet,-31.44,EUR,Utilities,Main
2025-11-28,Gym,-33.87,EUR,Health,Main
2025-11-30,Internet,-36.67,EUR,Utilities,Main
2025-11-30,HSL,-6.02,EUR,Transport,Main
2025-12-01,Salary,2600.00,EUR,Income,Main
2025-12-02,Rent,-950.00,EUR,Housing,Main
2025-12-02,Electricity,-40.66,EUR,Utilities,Main
2025-12-04,Internet,-26.55,EUR,Utilities,Main
2025-12-05,Pharmacy,-29.20,EUR,Health,Main
2025-12-06,Wolt,-29.19,EUR,Eating Out,Main
2025-12-06,VR,-40.75,EUR,Transport,Main
2025-12-07,Wolt,-18.66,EUR,Eating Out,Main
2025-12-10,VR,-21.42,EUR,Transport,Main
2025-12-11,Spotify,-12.46,EUR,Subscriptions,Main
2025-12-12,HSL,-2.58,EUR,Transport,Main
2025-12-13,S-Market,-36.02,EUR,Groceries,Main
2025-12-14,Netflix,-14.78,EUR,Subscriptions,Main
2025-12-14,Netflix,-12.24,EUR,Subscriptions,Main
2025-12-15,S-Market,-12.35,EUR,Groceries,Main
2025-12-16,Wolt,-28.05,EUR,Eating Out,Main
2025-12-17,VR,-42.24,EUR,Transport,Main
2025-12-20,Wolt,-43.79,EUR,Eating Out,Main
2025-12-21,HSL,-14.93,EUR,Transport,Main
2025-12-22,K-Market,-6.78,EUR,Groceries,Main
2025-12-23,Electricity,-65.83,EUR,Utilities,Main
2025-12-24,S-Market,-70.41,EUR,Groceries,Main
2025-12-25,S-Market,-59.45,EUR,Groceries,Main
2025-12-27,S-Market,-76.95,EUR,Groceries,Main
2025-12-28,Gym,-53.99,EUR,Health,Main
2025-12-29,HSL,-14.89,EUR,Transport,Main
2026-01-01,Salary,2600.00,EUR,Income,Main
2026-01-02,Rent,-950.00,EUR,Housing,Main
2026-01-02,Pharmacy,-32.14,EUR,Health,Main
2026-01-03,Internet,-30.40,EUR,Utilities,Main
2026-01-03,Electricity,-84.67,EUR,Utilities,Main
2026-01-04,Lidl,-24.52,EUR,Groceries,Main
2026-01-04,K-Market,-37.88,EUR,Groceries,Main
2026-01-05,VR,-29.82,EUR,Transport,Main
2026-01-06,Restaurant,-27.38,EUR,Eating Out,Main
2026-01-10,HSL,-12.50,EUR,Transport,Main
2026-01-10,Restaurant,-82.45,EUR,Eating Out,Main
2026-01-11,Internet,-16.08,EUR,Utilities,Main
2026-01-12,HSL,-3.01,EUR,Transport,Main
2026-01-13,Netflix,-17.11,EUR,Subscriptions,Main
2026-01-15,S-Market,-74.82,EUR,Groceries,Main
2026-01-16,K-Market,-26.99,EUR,Groceries,Main
2026-01-17,HSL,-8.21,EUR,Transport,Main
2026-01-17,Restaurant,-45.62,EUR,Eating Out,Main
2026-01-20,Lidl,-30.83,EUR,Groceries,Main
2026-01-22,HSL,-4.02,EUR,Transport,Main
2026-01-24,Lidl,-21.55,EUR,Groceries,Main
2026-01-24,S-Market,-32.26,EUR,Groceries,Main
2026-01-25,Pharmacy,-6.71,EUR,Health,Main
2026-01-25,Internet,-35.05,EUR,Utilities,Main
2026-01-27,VR,-12.41,EUR,Transport,Main
2026-01-28,Netflix,-13.46,EUR,Subscriptions,Main
